group,pair,mi
G1,feature_1|feature_2,0.6029568480038737
G2,feature_1|feature_2,0.5264051359557287
G3,feature_1|feature_2,0.8276407864673768
G4,feature_1|feature_2,0.7701759199389349
G5,feature_1|feature_2,0.7886977608524766
G1,feature_1|feature_3,0.49663652091491084
G2,feature_1|feature_3,0.6278803001370536
G3,feature_1|feature_3,0.6677285189604409
G4,feature_1|feature_3,0.7055968478571432
G5,feature_1|feature_3,0.5667054834950948
